+------------------------+-------------+----------------+---------------+
| destination_airport_id |    name     |  phone_number  | license_plate |
+------------------------+-------------+----------------+---------------+
| 1                      | Andrea      | (368) 555-3561 | 245THL6       |
| 1                      | Michelle    | (738) 555-2050 | 52E25A9       |
| 1                      | Anthony     | NULL           | 50U175Y       |
| 1                      | Rose        | (336) 555-0077 | O7JQ1SA       |
| 1                      | Jason       | (636) 555-4198 | 8666X39       |
| 1                      | Jeffrey     | NULL           | EH6V12Q       |
| 1                      | Barbara     | (367) 555-0409 | HN8I106       |
| 1                      | Bryan       | (696) 555-9195 | 8911U63       |
| 1                      | Noah        | (959) 555-4871 | 11J91FW       |
| 1                      | Isabella    | NULL           | NULL          |
| 1                      | Gerald      | NULL           | X0Q6908       |
| 1                      | Theresa     | (190) 555-4928 | 668A8SL       |
| 3                      | Carina      | (031) 555-6622 | Q12B3Z3       |
| 3                      | Rebecca     | (891) 555-5672 | NULL          |
| 3                      | Larry       | (892) 555-8872 | O268ZZ0       |
| 3                      | Lauren      | (707) 555-7535 | 3899SY4       |
| 3                      | Patricia    | (594) 555-2863 | R059OD5       |
| 3                      | Debra       | NULL           | 47MEFVA       |
| 3                      | Judy        | (918) 555-5327 | KGG82IR       |
| 3                      | Betty       | (233) 555-0473 | 47KK91C       |
| 8                      | Mark        | (873) 555-3868 | YD7376W       |
| 8                      | Keith       | (209) 555-7806 | 630U2R7       |
| 8                      | Amy         | (670) 555-8598 | NULL          |
| 8                      | Jeremy      | (194) 555-5027 | V47T75I       |
| 8                      | Kristina    | (918) 555-2946 | P743G7C       |
| 8                      | Walter      | (544) 555-8087 | 82456Y8       |
| 8                      | Stephanie   | (204) 555-4136 | 2001OV9       |
| 4                      | Doris       | (066) 555-9701 | M51FA04       |
| 4                      | Sofia       | (130) 555-0289 | G412CB7       |
| 4                      | Bruce       | (367) 555-5533 | 94KL13X       |
| 4                      | Edward      | (328) 555-1152 | 130LD9Z       |
| 4                      | Kelsey      | (499) 555-9472 | 0NTHK55       |
| 4                      | Taylor      | (286) 555-6063 | 1106N58       |
| 4                      | Kenny       | (826) 555-1652 | 30G67EN       |
| 4                      | Luca        | (389) 555-5198 | 4328GD8       |
| 6                      | Ralph       | (771) 555-7880 | 3933NUH       |
| 6                      | Judy        | (918) 555-5327 | KGG82IR       |
| 6                      | Mark        | (873) 555-3868 | YD7376W       |
| 6                      | Cynthia     | (458) 555-8396 | NULL          |
| 6                      | David       | (260) 555-0610 | SF5001S       |
| 8                      | Ernest      | (789) 555-8833 | C3S4W87       |
| 8                      | Gregory     | (022) 555-4052 | V4C670D       |
| 8                      | Debra       | NULL           | 47MEFVA       |
| 8                      | Jeremy      | (194) 555-5027 | V47T75I       |
| 8                      | Logan       | (219) 555-0139 | 6866W0M       |
| 8                      | Frances     | (059) 555-4698 | 97O6H62       |
| 8                      | Barbara     | (367) 555-0409 | HN8I106       |
| 1                      | Daniel      | (971) 555-6468 | FLFN3W0       |
| 1                      | Carol       | (168) 555-6126 | 81MNC9R       |
| 1                      | Rebecca     | (891) 555-5672 | NULL          |
| 1                      | Sophia      | (027) 555-1068 | 13FNH73       |
| 1                      | Heather     | (502) 555-6712 | NULL          |
| 1                      | Marilyn     | (568) 555-3190 | 0R0FW39       |
| 8                      | Vincent     | NULL           | 94MV71O       |
| 8                      | Philip      | (725) 555-3243 | GW362R6       |
| 8                      | Jason       | (636) 555-4198 | 8666X39       |
| 8                      | Gerald      | NULL           | X0Q6908       |
| 8                      | Lauren      | (707) 555-7535 | 3899SY4       |
| 8                      | Carl        | (704) 555-5790 | 81MZ921       |
| 8                      | James       | (676) 555-6554 | Q13SVG6       |
| 8                      | Arthur      | (394) 555-3247 | 64I1286       |
| 6                      | Virginia    | (478) 555-1565 | NULL          |
| 6                      | Jessica     | (786) 555-5321 | ET017P4       |
| 6                      | Louis       | (749) 555-4874 | NULL          |
| 6                      | Walter      | (544) 555-8087 | 82456Y8       |
| 5                      | Sharon      | (343) 555-0167 | 9N79I17       |
| 5                      | Olivia      | (258) 555-5627 | X273ZK9       |
| 5                      | Gloria      | (973) 555-3809 | O010420       |
| 5                      | Kristina    | (918) 555-2946 | P743G7C       |
| 5                      | Douglas     | (491) 555-2505 | 1FW4EUJ       |
| 5                      | Diana       | (770) 555-1861 | 322W7JE       |
| 5                      | Christian   | NULL           | 6CV51G1       |
| 5                      | Olivia      | (258) 555-5627 | X273ZK9       |
| 3                      | Austin      | NULL           | P160306       |
| 3                      | Dorothy     | (047) 555-0577 | 7T807V5       |
| 3                      | Sean        | (867) 555-9103 | NULL          |
| 3                      | Theresa     | (190) 555-4928 | 668A8SL       |
| 3                      | Benista     | (338) 555-6650 | 8X428L0       |
| 3                      | Charlotte   | (455) 555-5315 | Z5FH038       |
| 8                      | Willie      | (741) 555-1748 | NULL          |
| 8                      | Ann         | (601) 555-6795 | 84869TJ       |
| 8                      | Stephanie   | (204) 555-4136 | 2001OV9       |
| 8                      | Keith       | (209) 555-7806 | 630U2R7       |
| 8                      | Arthur      | (394) 555-3247 | 64I1286       |
| 8                      | Dylan       | (380) 555-4380 | DN6Z7FH       |
| 8                      | Thomas      | (286) 555-0131 | WD5M8I6       |
| 8                      | Vanessa     | (725) 555-4692 | 5P2BI95       |
| 8                      | Peter       | (751) 555-6567 | N507616       |
| 8                      | Karen       | (841) 555-3728 | IH61GO8       |
| 8                      | Alan        | NULL           | JUP02H1       |
| 8                      | Brandon     | (771) 555-6667 | R3G7486       |
| 8                      | Justin      | (721) 555-1131 | NULL          |
| 8                      | Jonathan    | (211) 555-3762 | 7627B71       |
| 8                      | Margaret    | (068) 555-0183 | 60563QT       |
| 8                      | Billy       | (060) 555-2489 | 2HB7G9N       |
| 8                      | Noah        | (959) 555-4871 | 11J91FW       |
| 8                      | Keith       | (209) 555-7806 | 630U2R7       |
| 8                      | Jeffrey     | NULL           | EH6V12Q       |
| 8                      | Angela      | (310) 555-8568 | SS458D7       |
| 8                      | Deborah     | (344) 555-9601 | 10I5658       |
| 8                      | Jack        | (996) 555-8899 | 52R0Y8U       |
| 8                      | Dorothy     | (047) 555-0577 | 7T807V5       |
| 8                      | Karen       | (841) 555-3728 | IH61GO8       |
| 8                      | Heather     | (502) 555-6712 | NULL          |
